Date,MAC,Rssi,Pressure,Temperture,Counter,Voltage
20230217-12:16:54,c464e3983e66,-92,757.21,25.86,5,3.02
20230217-12:17:14,c464e3983e66,-92,757.29,25.62,9,3.02
20230217-12:17:29,c464e3983e66,-83,757.23,25.45,12,3.02
20230217-12:17:34,c464e3983e66,-73,757.24,25.42,13,3.02
20230217-12:17:39,c464e3983e66,-73,757.21,25.38,14,3.02
20230217-12:17:44,c464e3983e66,-73,757.26,25.34,15,3.02
20230217-12:17:49,c464e3983e66,-77,757.25,25.3,16,3.02
20230217-12:17:54,c464e3983e66,-76,757.26,25.26,17,3.02
20230217-12:18:04,c464e3983e66,-78,757.18,25.2,19,3.02
20230217-12:18:09,c464e3983e66,-71,757.24,25.17,20,3.02
20230217-12:18:19,c464e3983e66,-39,757.19,25.12,22,3.02
20230217-12:18:24,c464e3983e66,-39,757.19,25.11,23,3.02
20230217-12:18:29,c464e3983e66,-39,757.18,25.09,24,3.02
20230217-12:18:34,c464e3983e66,-47,757.17,25.06,25,3.02
20230217-12:18:39,c464e3983e66,-68,757.2,25.05,26,3.02
20230217-12:18:44,c464e3983e66,-73,757.21,25.02,27,3.02
20230217-12:18:49,c464e3983e66,-75,757.2,25.0,28,3.02
20230217-12:18:54,c464e3983e66,-70,757.23,24.98,29,3.02
20230217-12:18:59,c464e3983e66,-82,757.22,24.97,30,3.02
20230217-12:19:04,c464e3983e66,-91,757.22,24.96,31,3.02
20230217-12:19:09,c464e3983e66,-73,757.19,24.95,32,3.02
20230217-12:19:14,c464e3983e66,-73,757.19,24.94,33,3.02
20230217-12:19:19,c464e3983e66,-73,757.2,24.92,34,3.02
20230217-12:19:24,c464e3983e66,-64,757.19,24.92,35,3.02
20230217-12:19:29,c464e3983e66,-64,757.19,24.91,36,3.02
20230217-12:19:34,c464e3983e66,-84,757.19,24.91,37,3.02
20230217-12:19:44,c464e3983e66,-71,757.18,24.9,39,3.02
20230217-12:19:49,c464e3983e66,-67,757.19,24.9,40,3.02
20230217-12:19:54,c464e3983e66,-61,757.15,24.88,41,3.02
20230217-12:19:59,c464e3983e66,-69,757.13,24.92,42,3.02
20230217-12:20:04,c464e3983e66,-62,757.13,25.38,43,3.02
20230217-12:20:09,c464e3983e66,-64,757.1,25.64,44,3.02
20230217-12:20:14,c464e3983e66,-64,757.11,25.73,45,3.02
20230217-12:20:19,c464e3983e66,-62,757.13,25.73,46,3.02
20230217-12:20:24,c464e3983e66,-59,757.12,25.7,47,3.02
20230217-12:20:29,c464e3983e66,-67,757.11,25.65,48,3.02
20230217-12:20:34,c464e3983e66,-76,757.12,25.59,49,3.02
20230217-12:20:39,c464e3983e66,-56,757.11,25.53,50,3.02
